files,language,blank,comment,code
2914,Java,50691,149197,312604
83,C,12072,31197,72032
341,Groovy,7412,12459,52893
260,XML,1949,5858,24764
67,C/C++ Header,1928,6971,5671
31,Bourne Shell,405,2238,4709
57,Python,716,1950,4056
17,JSON,0,0,3353
31,Perl,548,2363,3205
4,Web Services Description,501,246,3067
17,make,310,997,996
11,Text,51,0,994
1,CSS,196,49,941
3,m4,85,1,733
50,Ant,283,1426,623
7,Bourne Again Shell,91,248,453
1,XSLT,20,90,326
2,SQL,19,67,92
6,INI,2,0,90
2,diff,18,32,63
2,HTML,5,42,52
2,YAML,1,30,51
1,Markdown,13,0,34
2,Properties,1,29,7
3912,SUM,77317,215490,491809
