files,language,blank,comment,code
1577,Java,27846,91791,173387
65,C,8427,23789,45397
137,Groovy,2671,5745,19756
246,XML,2912,8685,15597
48,Bourne Shell,1885,3825,15589
45,Perl,800,3045,4552
99,Python,825,3049,4321
54,C/C++ Header,1375,6720,3876
4,Web Services Description,492,328,2830
8,CSS,315,365,1507
12,make,246,709,796
33,Ant,354,1320,553
3,m4,59,1,537
1,XSLT,23,69,288
6,HTML,61,171,225
2,Bourne Again Shell,51,160,188
5,INI,0,0,78
1,YAML,1,0,70
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
2354,SUM,48398,149908,289672
